tenure,monthly_charges,total_charges,contract_type,customer_support_calls,internet_service,online_security,tech_support,payment_method,paperless_billing,churn
6,71.37,428.2,Month-to-month,0,DSL,No,Yes,Electronic check,Yes,1
54,42.04,2270.32,Month-to-month,6,DSL,Yes,Yes,Credit card,Yes,1
4,59.56,238.25,Month-to-month,6,Fiber optic,Yes,No,Mailed check,No,1
54,29.74,1605.72,Month-to-month,7,DSL,Yes,No,Electronic check,Yes,1
63,67.05,4223.99,Two year,2,DSL,No,No,Bank transfer,Yes,0
18,45.29,815.15,Two year,0,Fiber optic,Yes,No,Bank transfer,No,0
44,70.16,3086.93,Month-to-month,8,No,No,No,Electronic check,Yes,1
34,84.67,2878.83,Month-to-month,0,Fiber optic,Yes,No,Mailed check,Yes,1
62,68.93,4273.77,Month-to-month,5,DSL,No,No,Credit card,No,1
14,43.66,611.24,Two year,8,Fiber optic,No,Yes,Credit card,Yes,1
48,40.46,1942.06,Month-to-month,1,Fiber optic,No,Yes,Mailed check,Yes,1
15,46.19,692.91,Month-to-month,3,Fiber optic,No,No,Credit card,Yes,1
62,33.17,2056.52,One year,1,DSL,No,Yes,Bank transfer,Yes,0
40,34.49,1379.75,Two year,3,Fiber optic,No,Yes,Electronic check,Yes,1
53,83.26,4412.53,Month-to-month,1,No,No,No,Mailed check,Yes,1
24,50.78,1218.69,Month-to-month,0,DSL,No,No,Electronic check,Yes,1
26,54.88,1426.87,Month-to-month,2,Fiber optic,No,No,Credit card,Yes,1
60,67.52,4051.44,Month-to-month,7,DSL,Yes,No,Credit card,Yes,1
41,67.17,2754.06,One year,4,Fiber optic,No,Yes,Bank transfer,Yes,1
29,25.39,736.31,One year,3,Fiber optic,No,No,Bank transfer,No,1
15,86.52,1297.85,One year,4,Fiber optic,Yes,No,Credit card,Yes,1
45,34.19,1538.38,Month-to-month,5,Fiber optic,No,No,Credit card,Yes,1
65,77.85,5059.97,Month-to-month,5,Fiber optic,No,No,Bank transfer,No,1
71,81.81,5808.77,Month-to-month,4,No,No,Yes,Bank transfer,Yes,1
9,77.19,694.73,Month-to-month,5,Fiber optic,Yes,Yes,Mailed check,Yes,1
1,66.32,66.32,One year,8,DSL,No,No,Bank transfer,No,1
8,21.17,169.35,Month-to-month,4,Fiber optic,No,No,Mailed check,Yes,1
63,48.83,3076.29,Month-to-month,5,Fiber optic,Yes,Yes,Mailed check,No,1
11,68.39,752.26,Month-to-month,3,Fiber optic,No,No,Electronic check,No,1
8,51.0,407.97,Month-to-month,2,Fiber optic,No,No,Bank transfer,Yes,1
35,89.08,3117.74,Month-to-month,5,Fiber optic,No,No,Mailed check,Yes,1
35,44.7,1564.65,Two year,4,Fiber optic,No,No,Electronic check,No,1
33,43.48,1434.93,Month-to-month,3,Fiber optic,No,No,Electronic check,Yes,1
5,41.28,206.4,One year,4,Fiber optic,No,No,Bank transfer,Yes,1
41,46.62,1911.52,Month-to-month,6,Fiber optic,No,No,Bank transfer,No,1
28,64.59,1808.59,Month-to-month,0,Fiber optic,No,Yes,Electronic check,Yes,1
7,76.56,535.93,Two year,0,DSL,No,Yes,Mailed check,Yes,0
12,73.01,876.07,Month-to-month,0,DSL,No,Yes,Bank transfer,No,1
34,84.62,2876.99,One year,1,No,No,No,Electronic check,Yes,0
33,90.87,2998.81,Month-to-month,8,DSL,Yes,No,Electronic check,No,1
48,85.29,4093.74,One year,4,Fiber optic,No,No,Mailed check,Yes,1
23,21.52,494.86,One year,8,No,Yes,Yes,Credit card,No,0
62,78.87,4890.15,Two year,4,DSL,Yes,Yes,Mailed check,Yes,0
37,36.67,1356.86,Two year,6,Fiber optic,No,Yes,Electronic check,Yes,1
44,30.63,1347.91,One year,5,Fiber optic,No,Yes,Mailed check,Yes,1
35,71.08,2487.77,Month-to-month,1,No,No,Yes,Bank transfer,Yes,1
65,45.58,2962.66,One year,2,DSL,No,Yes,Electronic check,No,0
47,24.57,1154.76,One year,4,DSL,Yes,Yes,Mailed check,Yes,0
3,31.01,93.03,Month-to-month,3,No,No,No,Mailed check,No,1
1,20.07,20.07,Month-to-month,5,DSL,No,Yes,Mailed check,Yes,1
5,92.26,461.29,Two year,7,Fiber optic,No,No,Mailed check,No,1
14,21.97,307.57,Month-to-month,7,Fiber optic,Yes,No,Electronic check,Yes,1
27,36.76,992.42,Month-to-month,2,DSL,No,Yes,Mailed check,Yes,1
9,53.3,479.71,Two year,3,No,No,No,Bank transfer,Yes,0
15,48.53,727.89,Month-to-month,0,Fiber optic,No,Yes,Credit card,No,1
42,92.94,3903.4,Month-to-month,1,DSL,Yes,Yes,Credit card,Yes,0
51,23.22,1184.38,One year,8,DSL,No,No,Credit card,Yes,1
63,60.98,3841.56,Month-to-month,9,DSL,Yes,No,Bank transfer,Yes,1
52,74.44,3870.79,One year,9,DSL,No,No,Credit card,Yes,1
4,94.54,378.14,Month-to-month,1,Fiber optic,No,No,Electronic check,No,1
23,69.63,1601.48,Month-to-month,5,DSL,Yes,No,Electronic check,Yes,1
15,84.3,1264.51,Month-to-month,6,DSL,No,Yes,Bank transfer,Yes,1
43,26.7,1148.01,Two year,5,No,No,No,Bank transfer,No,0
29,50.88,1475.38,Month-to-month,7,Fiber optic,Yes,No,Electronic check,No,1
36,49.92,1796.97,Month-to-month,8,DSL,Yes,Yes,Bank transfer,Yes,1
13,90.9,1181.74,Month-to-month,7,No,Yes,No,Bank transfer,No,1
32,32.11,1027.51,Month-to-month,4,DSL,Yes,Yes,Electronic check,Yes,0
71,32.15,2282.71,Month-to-month,7,No,Yes,No,Electronic check,Yes,1
59,46.28,2730.79,Month-to-month,9,Fiber optic,Yes,No,Mailed check,Yes,1
28,24.36,682.0,One year,9,Fiber optic,Yes,Yes,Mailed check,Yes,1
66,34.6,2283.38,Month-to-month,8,Fiber optic,No,No,Credit card,No,1
42,97.22,4083.1,One year,7,Fiber optic,No,No,Bank transfer,Yes,1
45,54.25,2441.46,One year,1,Fiber optic,No,No,Electronic check,Yes,1
62,70.56,4374.82,Month-to-month,1,Fiber optic,No,Yes,Credit card,No,1
57,78.09,4451.07,Month-to-month,2,DSL,Yes,Yes,Mailed check,Yes,0
6,49.36,296.14,One year,6,Fiber optic,No,No,Bank transfer,Yes,1
28,31.78,889.79,One year,8,Fiber optic,Yes,Yes,Credit card,Yes,1
28,36.53,1022.74,Month-to-month,7,Fiber optic,No,No,Bank transfer,No,1
44,45.06,1982.7,Two year,8,Fiber optic,No,No,Credit card,No,1
30,70.89,2126.56,Month-to-month,5,Fiber optic,Yes,Yes,Bank transfer,Yes,1
62,51.86,3215.47,Month-to-month,0,Fiber optic,No,Yes,Bank transfer,Yes,1
62,20.55,1273.8,Month-to-month,3,DSL,No,No,Electronic check,Yes,1
1,61.87,61.87,Two year,5,DSL,No,Yes,Bank transfer,Yes,0
27,93.72,2530.47,One year,5,Fiber optic,Yes,No,Mailed check,Yes,0
62,84.97,5267.9,One year,7,Fiber optic,Yes,Yes,Electronic check,Yes,1
3,86.02,258.05,Month-to-month,0,Fiber optic,No,Yes,Bank transfer,Yes,1
70,83.6,5852.32,Month-to-month,1,Fiber optic,Yes,No,Mailed check,Yes,1
27,45.9,1239.26,Month-to-month,1,Fiber optic,No,No,Mailed check,Yes,1
9,81.22,730.94,Two year,5,Fiber optic,No,No,Credit card,Yes,1
62,31.45,1950.08,Month-to-month,6,DSL,No,Yes,Electronic check,Yes,1
37,72.62,2686.84,Month-to-month,1,Fiber optic,Yes,No,Electronic check,Yes,1
51,71.33,3637.6,Month-to-month,4,DSL,Yes,No,Credit card,Yes,1
44,22.05,970.01,Two year,5,Fiber optic,Yes,No,Credit card,Yes,1
24,83.04,1992.9,Month-to-month,3,DSL,No,No,Credit card,Yes,1
59,92.26,5443.33,Month-to-month,0,DSL,No,Yes,Electronic check,No,1
32,41.39,1324.58,Month-to-month,2,DSL,No,No,Mailed check,Yes,1
52,84.99,4419.55,Two year,9,DSL,No,No,Mailed check,Yes,1
62,26.59,1648.73,Two year,8,Fiber optic,No,No,Bank transfer,No,1
58,68.0,3943.85,One year,5,No,No,No,Electronic check,Yes,1
52,58.85,3060.29,Month-to-month,1,DSL,Yes,No,Electronic check,Yes,1
12,63.67,764.09,Month-to-month,8,Fiber optic,Yes,Yes,Credit card,No,1
39,94.1,3669.76,Two year,3,Fiber optic,Yes,No,Electronic check,Yes,0
2,89.71,179.41,Month-to-month,7,DSL,No,Yes,Electronic check,Yes,1
3,82.81,248.42,Month-to-month,9,DSL,No,No,Mailed check,Yes,1
56,41.9,2346.17,Month-to-month,6,DSL,Yes,Yes,Electronic check,Yes,1
59,92.95,5483.78,Two year,2,Fiber optic,No,No,Mailed check,Yes,1
2,27.8,55.6,Month-to-month,7,DSL,Yes,No,Mailed check,Yes,1
2,88.27,176.53,One year,3,DSL,Yes,Yes,Electronic check,Yes,0
54,46.25,2497.65,Two year,1,DSL,No,No,Mailed check,Yes,1
1,24.3,24.3,Month-to-month,4,Fiber optic,No,No,Credit card,Yes,1
19,73.55,1397.42,Month-to-month,0,Fiber optic,Yes,Yes,Mailed check,Yes,1
2,38.5,77.0,Two year,7,DSL,No,Yes,Electronic check,No,0
53,39.49,2092.74,Two year,7,Fiber optic,No,Yes,Credit card,No,1
44,44.48,1957.29,Two year,2,Fiber optic,Yes,Yes,Credit card,No,0
32,25.09,803.03,One year,0,DSL,No,No,Electronic check,Yes,0
70,34.17,2391.91,Month-to-month,3,DSL,Yes,No,Bank transfer,Yes,1
32,20.41,653.16,Two year,8,Fiber optic,Yes,No,Mailed check,Yes,1
68,55.63,3783.03,Month-to-month,8,Fiber optic,Yes,No,Mailed check,Yes,1
55,26.74,1470.72,Two year,0,Fiber optic,Yes,No,Bank transfer,Yes,1
56,74.61,4178.28,Two year,6,Fiber optic,Yes,No,Credit card,No,1
17,38.85,660.45,One year,5,DSL,Yes,No,Bank transfer,No,0
38,95.49,3628.47,Two year,6,DSL,No,Yes,Electronic check,Yes,1
24,89.7,2152.8,One year,6,Fiber optic,No,Yes,Bank transfer,No,1
69,43.16,2977.71,Month-to-month,7,Fiber optic,Yes,Yes,Credit card,Yes,1
70,82.66,5786.01,One year,7,DSL,Yes,No,Electronic check,Yes,0
11,84.26,926.86,Month-to-month,9,No,Yes,Yes,Electronic check,Yes,1
16,98.93,1582.8,One year,1,Fiber optic,No,Yes,Electronic check,Yes,1
59,67.83,4001.8,Month-to-month,3,DSL,Yes,No,Mailed check,No,1
70,26.56,1859.01,Month-to-month,3,Fiber optic,No,No,Mailed check,Yes,1
3,71.75,215.24,Two year,9,DSL,No,No,Electronic check,Yes,1
20,70.0,1399.97,Two year,7,Fiber optic,No,No,Bank transfer,Yes,1
59,71.07,4193.01,Month-to-month,2,Fiber optic,No,Yes,Mailed check,Yes,1
36,44.57,1604.58,One year,2,DSL,Yes,No,Credit card,No,0
19,88.77,1686.71,One year,1,Fiber optic,No,Yes,Mailed check,No,0
67,96.76,6482.77,Two year,0,Fiber optic,No,No,Bank transfer,No,1
19,37.42,710.92,Month-to-month,7,DSL,No,No,Mailed check,Yes,1
20,27.05,541.04,One year,8,DSL,No,No,Bank transfer,Yes,1
71,35.56,2524.96,Two year,8,DSL,Yes,No,Bank transfer,No,1
52,85.64,4453.5,Month-to-month,7,Fiber optic,No,No,Mailed check,No,1
33,74.13,2446.34,Two year,4,DSL,No,No,Bank transfer,Yes,1
40,70.88,2835.35,Two year,0,Fiber optic,No,No,Bank transfer,No,1
39,52.14,2033.59,Two year,8,DSL,No,No,Credit card,Yes,1
1,66.23,66.23,Month-to-month,5,DSL,Yes,No,Electronic check,No,1
11,44.63,490.93,Month-to-month,6,Fiber optic,Yes,No,Electronic check,Yes,1
57,58.18,3316.03,Two year,7,Fiber optic,No,Yes,Mailed check,No,1
50,83.45,4172.25,Month-to-month,4,Fiber optic,No,No,Bank transfer,Yes,1
23,98.5,2265.48,One year,5,Fiber optic,No,No,Mailed check,Yes,1
31,94.6,2932.57,Month-to-month,6,Fiber optic,No,No,Mailed check,Yes,1
42,94.71,3977.79,Month-to-month,6,DSL,No,No,Electronic check,Yes,1
7,52.18,365.25,Month-to-month,1,DSL,No,Yes,Bank transfer,Yes,1
16,57.5,920.05,One year,0,DSL,No,Yes,Mailed check,Yes,1
60,76.45,4587.05,Month-to-month,7,Fiber optic,No,Yes,Mailed check,Yes,1
2,93.78,187.55,One year,4,No,Yes,No,Electronic check,Yes,0
1,31.36,31.36,One year,9,DSL,No,Yes,Electronic check,Yes,1
48,44.34,2128.29,One year,1,DSL,No,No,Electronic check,Yes,1
12,31.14,373.68,One year,2,DSL,Yes,Yes,Mailed check,Yes,0
69,68.96,4758.29,Month-to-month,5,Fiber optic,No,Yes,Bank transfer,Yes,1
37,44.5,1646.65,Month-to-month,9,Fiber optic,Yes,Yes,Electronic check,No,1
32,46.09,1474.84,Month-to-month,5,DSL,No,Yes,Electronic check,No,0
9,25.67,231.06,One year,7,Fiber optic,No,Yes,Bank transfer,No,1
19,47.98,911.69,One year,4,Fiber optic,No,No,Mailed check,Yes,1
48,89.0,4271.99,Month-to-month,4,DSL,No,Yes,Mailed check,Yes,1
3,38.65,115.94,Month-to-month,6,Fiber optic,No,Yes,Bank transfer,No,1
20,75.61,1512.3,One year,9,Fiber optic,Yes,No,Electronic check,Yes,1
24,70.37,1688.89,Month-to-month,4,DSL,No,Yes,Credit card,No,1
54,89.08,4810.25,Two year,8,Fiber optic,No,No,Bank transfer,Yes,1
33,30.58,1009.24,Month-to-month,5,DSL,No,No,Credit card,Yes,1
24,98.21,2356.97,Two year,6,Fiber optic,Yes,No,Mailed check,Yes,1
36,66.61,2397.97,Month-to-month,7,Fiber optic,No,No,Mailed check,No,1
38,99.64,3786.24,Month-to-month,4,Fiber optic,No,Yes,Credit card,Yes,1
25,92.92,2323.03,Month-to-month,3,DSL,No,No,Electronic check,Yes,1
18,37.72,678.98,Month-to-month,7,DSL,No,No,Credit card,No,1
66,24.49,1616.54,Month-to-month,9,Fiber optic,Yes,Yes,Electronic check,Yes,1
54,40.45,2184.36,Month-to-month,8,DSL,No,Yes,Bank transfer,Yes,1
35,62.21,2177.18,One year,0,Fiber optic,No,No,Mailed check,Yes,1
61,33.73,2057.39,Month-to-month,2,DSL,No,Yes,Mailed check,Yes,1
41,33.4,1369.27,One year,3,Fiber optic,No,No,Credit card,No,0
33,57.01,1881.25,Month-to-month,6,Fiber optic,No,No,Bank transfer,No,1
68,22.66,1540.98,Two year,5,Fiber optic,Yes,Yes,Credit card,Yes,1
33,29.75,981.78,One year,9,DSL,Yes,Yes,Credit card,Yes,0
14,53.27,745.76,Month-to-month,9,Fiber optic,No,Yes,Credit card,Yes,1
21,25.05,526.06,Month-to-month,0,DSL,Yes,No,Electronic check,Yes,1
48,51.74,2483.54,Month-to-month,3,Fiber optic,No,Yes,Mailed check,Yes,1
20,57.92,1158.41,Month-to-month,5,DSL,No,No,Mailed check,Yes,1
8,56.1,448.81,One year,2,Fiber optic,No,No,Credit card,Yes,1
7,89.53,626.74,One year,1,Fiber optic,Yes,No,Electronic check,Yes,1
67,62.4,4181.13,Two year,1,Fiber optic,No,Yes,Mailed check,No,0
17,57.44,976.45,One year,9,Fiber optic,No,No,Electronic check,No,1
33,52.86,1744.27,Two year,3,DSL,No,Yes,Bank transfer,Yes,0
48,85.41,4099.67,Two year,0,No,No,Yes,Electronic check,Yes,0
59,91.6,5404.67,Two year,9,DSL,Yes,Yes,Electronic check,Yes,0
22,88.26,1941.71,Month-to-month,1,No,No,No,Bank transfer,No,1
30,73.88,2216.51,Month-to-month,9,Fiber optic,No,No,Mailed check,No,1
38,30.99,1177.58,Month-to-month,1,No,No,Yes,Mailed check,No,1
51,42.15,2149.63,One year,3,DSL,No,No,Electronic check,Yes,1
54,23.69,1278.99,Month-to-month,3,DSL,Yes,Yes,Electronic check,Yes,0
8,94.47,755.73,Month-to-month,0,Fiber optic,Yes,No,Bank transfer,No,1
27,72.86,1967.32,Month-to-month,6,No,No,Yes,Bank transfer,No,1
27,79.71,2152.14,Month-to-month,6,DSL,No,No,Mailed check,No,1
21,44.93,943.44,One year,9,DSL,Yes,No,Mailed check,Yes,1
30,87.65,2629.57,Month-to-month,9,DSL,No,No,Bank transfer,Yes,1
28,40.77,1141.51,One year,9,Fiber optic,No,Yes,Electronic check,Yes,1
64,20.13,1288.42,One year,0,Fiber optic,Yes,No,Bank transfer,No,0
69,50.11,3457.81,Month-to-month,7,DSL,No,No,Mailed check,No,1
61,65.66,4005.32,One year,9,DSL,Yes,Yes,Electronic check,Yes,1
48,58.3,2798.23,One year,6,Fiber optic,No,Yes,Credit card,Yes,1
19,88.97,1690.36,Month-to-month,6,DSL,No,No,Credit card,Yes,1
4,28.43,113.73,Month-to-month,5,Fiber optic,Yes,No,Bank transfer,Yes,1
35,64.31,2250.71,Month-to-month,3,Fiber optic,No,Yes,Mailed check,Yes,1
64,61.04,3906.45,One year,7,Fiber optic,No,No,Electronic check,Yes,1
49,42.51,2083.06,One year,1,Fiber optic,Yes,No,Credit card,Yes,0
17,85.78,1458.23,Month-to-month,6,Fiber optic,No,No,Electronic check,Yes,1
44,80.23,3530.03,Month-to-month,2,DSL,No,No,Electronic check,No,1
30,78.63,2358.86,Month-to-month,2,Fiber optic,No,No,Electronic check,Yes,1
46,90.1,4144.39,Two year,6,DSL,No,Yes,Electronic check,No,1
6,77.82,466.94,Month-to-month,2,Fiber optic,Yes,No,Bank transfer,Yes,1
37,38.55,1426.25,Two year,4,DSL,Yes,No,Electronic check,No,0
24,76.45,1834.68,Month-to-month,7,Fiber optic,No,No,Credit card,No,1
46,44.62,2052.35,One year,3,DSL,No,Yes,Credit card,Yes,1
53,39.37,2086.82,One year,6,DSL,No,No,Bank transfer,Yes,1
60,25.84,1550.42,One year,6,DSL,No,No,Credit card,Yes,1
63,79.52,5009.9,Month-to-month,1,No,No,Yes,Electronic check,Yes,1
32,76.88,2460.16,One year,7,No,No,No,Credit card,Yes,1
33,38.76,1279.08,Month-to-month,9,DSL,No,Yes,Mailed check,Yes,1
67,79.95,5356.67,Month-to-month,9,DSL,Yes,No,Electronic check,No,1
18,93.43,1681.69,One year,8,DSL,Yes,No,Bank transfer,Yes,0
25,28.64,716.06,Two year,5,DSL,Yes,No,Mailed check,Yes,0
54,38.61,2084.99,One year,4,Fiber optic,No,No,Credit card,Yes,1
58,80.02,4641.21,Month-to-month,0,Fiber optic,Yes,Yes,Mailed check,Yes,1
67,41.96,2811.36,One year,0,Fiber optic,Yes,Yes,Credit card,Yes,0
46,69.97,3218.76,One year,8,Fiber optic,Yes,No,Credit card,Yes,1
24,26.49,635.84,Two year,3,Fiber optic,Yes,No,Credit card,No,1
32,56.18,1797.64,Two year,0,Fiber optic,Yes,No,Bank transfer,Yes,1
47,79.13,3718.98,One year,9,DSL,Yes,Yes,Mailed check,Yes,0
23,74.92,1723.19,Month-to-month,2,DSL,No,No,Bank transfer,Yes,1
66,85.21,5623.58,One year,5,Fiber optic,Yes,No,Credit card,Yes,1
27,90.2,2435.3,One year,7,DSL,No,Yes,Electronic check,No,1
2,81.85,163.71,Two year,9,DSL,Yes,Yes,Electronic check,No,0
17,73.73,1253.36,Month-to-month,1,No,No,No,Bank transfer,Yes,1
33,22.54,743.75,Month-to-month,7,Fiber optic,No,No,Electronic check,No,1
9,62.8,565.18,Month-to-month,0,Fiber optic,No,No,Mailed check,Yes,1
43,23.02,989.68,One year,1,Fiber optic,No,No,Electronic check,Yes,1
48,84.65,4062.98,Two year,7,DSL,Yes,Yes,Electronic check,Yes,1
39,45.66,1780.66,Month-to-month,6,No,Yes,No,Credit card,No,1
42,64.99,2729.76,One year,4,DSL,No,Yes,Mailed check,Yes,0
26,42.36,1101.25,One year,9,Fiber optic,No,No,Mailed check,Yes,1
50,82.6,4130.0,One year,1,Fiber optic,No,Yes,Electronic check,Yes,1
25,90.92,2273.01,Month-to-month,8,Fiber optic,No,No,Credit card,No,1
24,51.89,1245.39,Two year,4,Fiber optic,No,No,Electronic check,Yes,1
13,89.03,1157.44,Month-to-month,7,No,No,Yes,Electronic check,Yes,1
60,41.37,2481.96,One year,3,Fiber optic,No,Yes,Bank transfer,No,1
7,62.77,439.41,Month-to-month,8,DSL,No,No,Credit card,No,1
57,88.7,5055.95,Month-to-month,9,Fiber optic,Yes,No,Bank transfer,No,1
36,46.07,1658.54,Two year,6,No,No,No,Electronic check,No,1
45,96.32,4334.55,Month-to-month,1,Fiber optic,Yes,No,Electronic check,No,1
20,29.75,595.01,Month-to-month,2,Fiber optic,No,Yes,Credit card,Yes,1
65,21.46,1395.03,One year,1,Fiber optic,No,Yes,Mailed check,Yes,1
8,92.33,738.65,One year,4,DSL,No,No,Electronic check,Yes,0
16,25.49,407.87,One year,1,DSL,No,No,Electronic check,No,0
14,99.35,1390.92,Month-to-month,4,No,Yes,No,Bank transfer,No,1
15,96.11,1441.68,Month-to-month,8,Fiber optic,Yes,No,Bank transfer,Yes,1
66,30.96,2043.47,Month-to-month,1,DSL,Yes,No,Credit card,Yes,1
32,63.01,2016.22,Month-to-month,8,Fiber optic,No,Yes,Bank transfer,No,1
63,34.79,2192.0,Two year,6,Fiber optic,No,Yes,Mailed check,Yes,1
51,54.25,2766.87,Month-to-month,6,Fiber optic,No,Yes,Electronic check,Yes,1
25,24.91,622.85,Month-to-month,4,DSL,No,Yes,Bank transfer,Yes,1
58,37.91,2199.01,Month-to-month,7,No,No,No,Mailed check,Yes,1
63,49.06,3090.89,Month-to-month,6,Fiber optic,No,No,Electronic check,No,1
62,55.09,3415.69,One year,5,Fiber optic,No,No,Electronic check,No,1
22,98.2,2160.39,One year,1,DSL,Yes,No,Mailed check,No,0
58,84.63,4908.5,Month-to-month,5,DSL,No,No,Electronic check,Yes,1
58,78.99,4581.58,Month-to-month,1,DSL,Yes,No,Mailed check,No,1
49,62.96,3085.2,Month-to-month,0,No,No,No,Mailed check,Yes,1
52,87.2,4534.39,One year,8,DSL,No,Yes,Bank transfer,Yes,1
42,47.15,1980.12,One year,4,Fiber optic,Yes,No,Credit card,Yes,0
70,76.71,5369.84,Month-to-month,9,DSL,Yes,Yes,Mailed check,No,1
15,99.5,1492.54,Month-to-month,9,DSL,Yes,No,Bank transfer,Yes,1
54,45.17,2439.2,One year,3,DSL,Yes,Yes,Electronic check,Yes,0
60,73.92,4435.28,Two year,7,Fiber optic,No,No,Bank transfer,No,1
8,87.55,700.36,Two year,4,Fiber optic,Yes,Yes,Mailed check,Yes,0
53,93.26,4943.02,Month-to-month,6,No,Yes,No,Bank transfer,No,1
60,77.43,4646.08,Month-to-month,2,No,No,No,Credit card,No,1
5,42.69,213.44,Month-to-month,7,DSL,No,No,Electronic check,No,1
68,46.1,3134.97,One year,7,Fiber optic,No,No,Bank transfer,Yes,1
6,21.66,129.96,Two year,2,Fiber optic,No,No,Electronic check,Yes,1
47,80.87,3800.93,Month-to-month,8,Fiber optic,No,No,Mailed check,No,1
55,23.42,1288.05,Month-to-month,7,DSL,Yes,Yes,Credit card,Yes,1
40,89.17,3566.89,Month-to-month,0,Fiber optic,No,Yes,Credit card,Yes,1
52,29.49,1533.63,Month-to-month,7,DSL,No,Yes,Bank transfer,Yes,1
16,33.75,540.0,Month-to-month,3,DSL,Yes,No,Electronic check,Yes,1
13,58.12,755.59,One year,5,DSL,No,No,Electronic check,Yes,1
30,79.03,2370.91,Month-to-month,9,DSL,No,Yes,Bank transfer,No,1
19,31.12,591.28,Month-to-month,8,Fiber optic,No,No,Bank transfer,Yes,1
